,1,2,3,4,5,6,7,8,9,10
20120710,-0.490631093,0.00999218,0.045335942,0.073838417,0.062168274,0.05740402,0.013252482,0.114299388,0.01346312,0.10087727
20120711,-0.490543199,0.007551463,0.043628703,0.077504336,0.061852047,0.059325676,0.012261665,0.11519628,0.014566029,0.098657
20120712,-0.488967858,0.006849642,0.042884223,0.079358639,0.059388763,0.060580283,0.011891507,0.113488535,0.017001989,0.097524277
20120713,-0.487446789,0.005054332,0.04397568,0.079643812,0.057244748,0.058276712,0.011646195,0.115040346,0.019207875,0.097357088
20120716,-0.489618967,0.006245887,0.046319539,0.075832815,0.058197305,0.057233573,0.011589368,0.11434195,0.018954805,0.100903723
20120717,-0.492056958,0.003705089,0.047164763,0.076728485,0.057883699,0.057241088,0.011454042,0.115283151,0.019773861,0.10282278
20120718,-0.494449831,0.003271095,0.046719069,0.077013766,0.059595946,0.056361561,0.010259215,0.115161065,0.018696828,0.107371285
20120719,-0.497282283,0.001819662,0.044671704,0.076031702,0.060018772,0.058056304,0.011165354,0.115811634,0.020778911,0.108928241
20120720,-0.494570566,0.002498881,0.04314893,0.077854122,0.061015445,0.056598833,0.010285014,0.115369819,0.019946308,0.107853213
20120723,-0.494355232,0.002567968,0.042740684,0.077452466,0.061272996,0.056892627,0.011404145,0.114264998,0.020244496,0.107514852
20120724,-0.497972254,0.001240302,0.042106386,0.078472018,0.061902036,0.05680621,0.014590638,0.115222256,0.019759331,0.107873077
20120725,-0.498522662,0.001793779,0.041603619,0.078544042,0.063011674,0.057020557,0.015437602,0.116646982,0.01801142,0.106452986
20120726,-0.507925172,-0.001591212,0.043764957,0.075880174,0.065447262,0.059221104,0.019553609,0.12015166,0.019856348,0.105641269
20120727,-0.50744807,-0.003788184,0.045980757,0.076032176,0.067604492,0.06024642,0.019338698,0.116050836,0.019888647,0.106094229
20120730,-0.530252108,-0.001270893,0.050584447,0.077497679,0.069236113,0.06232452,0.023504874,0.117582279,0.022910189,0.107882901
20120731,-0.534517682,0.001090449,0.050215472,0.078046084,0.069380702,0.06296386,0.023478618,0.117105175,0.02360242,0.108634901
20120801,-0.537908533,0.003416629,0.050523761,0.079942812,0.068602066,0.060633268,0.023066686,0.116361232,0.024137231,0.111224847
20120802,-0.537573517,0.00522687,0.05059891,0.081402466,0.070747656,0.059862665,0.021256888,0.115672375,0.021374754,0.111430933
20120803,-0.539556643,0.004597578,0.050395096,0.080772886,0.068526341,0.059033315,0.023521723,0.117513141,0.022627866,0.112568697
20120806,-0.541266973,0.003261104,0.049321528,0.081517852,0.069016899,0.060543823,0.023705018,0.118974336,0.023262788,0.111663626
20120807,-0.542281498,0.002747737,0.050341915,0.081207932,0.068955308,0.06071988,0.025218187,0.11935525,0.022666236,0.111069053
20120808,-0.544869199,0.005224874,0.05025024,0.081622664,0.068203144,0.060455304,0.02544399,0.121340445,0.022226338,0.110102199
20120809,-0.54833882,0.004134486,0.049648475,0.084075241,0.068850611,0.060934527,0.026564887,0.121321996,0.023443639,0.109364958
20120810,-0.553368162,7.30E-05,0.04811998,0.085115981,0.070813701,0.061046216,0.02770701,0.123882528,0.025152163,0.111457573
20120813,-0.552966821,0.003585154,0.048852254,0.08620525,0.069127985,0.060759709,0.027251503,0.123132875,0.021622346,0.112429744
20120814,-0.558274968,0.002839923,0.049585263,0.084941212,0.070742241,0.062794288,0.027628785,0.126090036,0.02362171,0.11003151
20120815,-0.563027342,0.003488606,0.051419793,0.08557119,0.071290764,0.063011199,0.030277674,0.126699137,0.020715843,0.110553135
20120816,-0.561169539,0.0062201,0.052950004,0.084499483,0.070455974,0.063805905,0.028669202,0.124900203,0.019529906,0.110138762
20120817,-0.557222413,0.007191136,0.052854805,0.084027096,0.070786929,0.064223579,0.026844097,0.125154965,0.019571322,0.106568485
20120820,-0.557685844,0.00764035,0.052634905,0.081895601,0.072151904,0.064243322,0.024407582,0.124926111,0.020291635,0.109494434
20120821,-0.559423903,0.008247218,0.053531995,0.082020679,0.070427282,0.063730135,0.024463442,0.125322494,0.018878394,0.112802265
20120822,-0.560926894,0.007282794,0.052925305,0.081107077,0.070002707,0.063696662,0.024325019,0.125469766,0.020849128,0.115268439
20120823,-0.561646496,0.008845461,0.050222838,0.080404634,0.067349225,0.063653259,0.023295455,0.126576933,0.021445689,0.119853001
20120824,-0.557776839,0.009882583,0.049187579,0.080001045,0.065889239,0.062799216,0.022784919,0.126147538,0.02181789,0.119266829
20120827,-0.555282366,0.01163525,0.048618729,0.079621446,0.064585783,0.06246588,0.021306238,0.123825359,0.020989974,0.122233707
20120828,-0.56292901,0.008815509,0.050591352,0.079419143,0.066962487,0.064400827,0.023445689,0.125604189,0.02182367,0.121866143
20120829,-0.560538258,0.007561043,0.050773974,0.080029034,0.066384764,0.063089705,0.022986122,0.124875362,0.022689062,0.122149191
20120830,-0.559401088,0.008524936,0.052262061,0.081033027,0.067367042,0.061922964,0.023746692,0.123151042,0.021134267,0.120259057
20120831,-0.556270761,0.010626867,0.054474336,0.080276643,0.065405968,0.058619452,0.024295742,0.121904421,0.018488207,0.122179123
20120903,-0.557706082,0.011134198,0.057924288,0.08162635,0.064583677,0.058220846,0.023902371,0.122577334,0.017233154,0.120503863
20120904,-0.56191833,0.010715794,0.057167311,0.082047357,0.063979624,0.06128325,0.02437974,0.12169398,0.019163692,0.121487582
20120905,-0.563843206,0.010832151,0.058073688,0.083250074,0.065574882,0.063841329,0.023705158,0.122667149,0.01768398,0.118214795
20120906,-0.565252802,0.009165502,0.053009201,0.08197837,0.064323703,0.063953478,0.024653058,0.123297985,0.019757796,0.125113709
20120907,-0.561561633,0.008827729,0.05411359,0.083118839,0.064373218,0.063101893,0.025182803,0.122422646,0.016852707,0.123568208
20120910,-0.563501028,0.008212371,0.051438883,0.082156604,0.064597404,0.062946253,0.025941444,0.12221291,0.01844061,0.127554549
20120911,-0.568874264,0.007287333,0.050752927,0.08152446,0.064008604,0.062454142,0.02642474,0.120341619,0.019019891,0.137060548
20120912,-0.571681395,0.005543624,0.049534368,0.081366195,0.063648813,0.062380808,0.024766566,0.119648443,0.023496633,0.141295946
20120913,-0.573756248,0.005304643,0.050829083,0.082121848,0.065058021,0.063409085,0.023544748,0.121591035,0.0262844,0.135613385
20120914,-0.574628887,0.006672511,0.052423163,0.085201313,0.06643448,0.065235598,0.025227748,0.121666306,0.028695709,0.123072059
20120917,-0.574512811,0.009560937,0.052796989,0.084662775,0.066485469,0.064055181,0.024322827,0.1215346,0.028536659,0.122557375
20120918,-0.569548584,0.009532518,0.05358171,0.082007467,0.06543224,0.063948674,0.024088568,0.121862378,0.028132544,0.120962487
20120919,-0.573764538,0.007692655,0.056119702,0.083294971,0.066928271,0.065406943,0.024244282,0.123152312,0.028753409,0.118171993
20120920,-0.57443495,0.009045247,0.056446022,0.083092488,0.06481709,0.06513118,0.025736895,0.123318384,0.02888388,0.117963764
20120921,-0.574731717,0.008685178,0.057646783,0.083487451,0.066211574,0.066730658,0.026102585,0.122124605,0.028602869,0.115140013
20120924,-0.57788157,0.009436697,0.054967769,0.079500066,0.068359742,0.06592555,0.027519544,0.127583576,0.029002889,0.115585738
20120925,-0.582681706,0.012425646,0.055687138,0.081380954,0.069265071,0.063848148,0.028929141,0.127679704,0.028752999,0.114712904
20120926,-0.583909316,0.01211686,0.056821083,0.080740839,0.070441743,0.062152101,0.028640845,0.129555842,0.028625774,0.11481423
20120927,-0.584946971,0.011429589,0.056411433,0.080314227,0.068900964,0.06113265,0.030990572,0.130236289,0.029916015,0.115615232
20120928,-0.582656285,0.011247908,0.057773048,0.081115698,0.06883357,0.060839726,0.029813007,0.130114539,0.029516693,0.113402097
20121008,-0.585244186,0.011458374,0.057854433,0.081658863,0.069393162,0.058873264,0.031486957,0.131401382,0.029756464,0.113361286
20121009,-0.585885006,0.009367573,0.05543448,0.08405919,0.066281914,0.058776464,0.032696046,0.132145992,0.030280076,0.116843273
20121010,-0.592882743,0.007126302,0.054747599,0.085476846,0.066967126,0.060471144,0.033894357,0.133647057,0.032419865,0.118132448
20121011,-0.595432788,0.00466462,0.054125621,0.08478079,0.068263041,0.0608611,0.035162401,0.134916573,0.032447863,0.12021078
20121012,-0.599756462,0.003779475,0.056621338,0.084406268,0.069426484,0.063163924,0.03626192,0.134585341,0.033772831,0.117738879
20121015,-0.598690841,0.005624742,0.056734132,0.084197772,0.068621923,0.063268015,0.035983614,0.132159087,0.034457182,0.117644374
20121016,-0.599459127,0.003989689,0.056615215,0.083544315,0.069750952,0.063382479,0.035714572,0.132814179,0.035435962,0.118211764
20121017,-0.597601495,0.004481072,0.054960813,0.082378836,0.068661441,0.063955527,0.035765046,0.133752505,0.034274432,0.119371823
20121018,-0.600201724,0.007085998,0.054193082,0.081868631,0.067537607,0.064213292,0.036029775,0.13336784,0.034926925,0.120978574
20121019,-0.597478855,0.008303391,0.054590702,0.083062802,0.063920373,0.063631112,0.035232039,0.134730944,0.031496585,0.122510906
20121022,-0.599810033,0.005500241,0.056248542,0.083721936,0.065061481,0.06519869,0.035354603,0.135965726,0.03070125,0.122057564
20121023,-0.601080798,0.004177633,0.056441896,0.084282988,0.064344668,0.066183392,0.034854348,0.136747706,0.032534755,0.121513411
20121024,-0.603627958,0.004013386,0.05473129,0.083526612,0.063036865,0.067004482,0.03603613,0.137818642,0.033745903,0.123714647
20121025,-0.603728673,0.004703373,0.055115243,0.085044368,0.06020981,0.067056912,0.036513976,0.136548471,0.033614565,0.124921955
20121026,-0.607396085,0.005310104,0.055410538,0.084486225,0.061916786,0.06757929,0.03731179,0.136191589,0.033138127,0.126051636
20121029,-0.610488871,0.005187479,0.056595737,0.084125718,0.063001801,0.067853197,0.038147904,0.136448389,0.033281326,0.12584732
20121030,-0.610894166,0.005087418,0.056476586,0.084020361,0.063919816,0.068527435,0.038896253,0.137352604,0.032886346,0.123727348
20121031,-0.609573894,0.005573847,0.055512027,0.082085982,0.062786045,0.067710559,0.04034045,0.137079992,0.032614726,0.125870265
20121101,-0.607953064,0.007122951,0.055023957,0.083200353,0.062598032,0.067628385,0.040837154,0.136854236,0.03177742,0.122910577
20121102,-0.607695997,0.008006234,0.056936615,0.0839041,0.062824096,0.06624394,0.039321547,0.137308571,0.031095451,0.122055444
20121105,-0.606582101,0.009588734,0.055130034,0.083398945,0.063124763,0.066441879,0.038302211,0.135350023,0.031998672,0.12324684
20121106,-0.606166538,0.010093665,0.057577479,0.085058983,0.063872184,0.065690068,0.038150912,0.136975984,0.031171004,0.11757626
20121107,-0.606994728,0.009846551,0.055794299,0.086647942,0.06541476,0.063597473,0.03955804,0.136840199,0.029354603,0.119940861
20121108,-0.606313303,0.010412995,0.056001212,0.087266843,0.06656763,0.062785386,0.039211743,0.135023878,0.029834133,0.119209482
20121109,-0.610465106,0.011125989,0.05553056,0.086849574,0.069239461,0.06328226,0.039239172,0.135509056,0.030627173,0.119061861
20121112,-0.614565362,0.011504303,0.055439774,0.088381242,0.070953284,0.063920609,0.0386879,0.135487501,0.032094271,0.118096479
